address,area
"город москва, малый полуярославский переулок, дом 3/5, строение 1",Центральный административный округ
"город москва, малый путинковский переулок, дом 1/2, строение 1",Центральный административный округ
"город москва, малый саввинский переулок, дом 8",Центральный административный округ
"город москва, малый татарский переулок, дом 8, строение 1",Центральный административный округ
"город москва, малый толмачёвский переулок, дом 8/11, строение 3",Центральный административный округ
"город москва, мамоновский переулок, дом 10, строение 1",Центральный административный округ
"город москва, мансуровский переулок, дом 10, строение 2",Центральный административный округ
"город москва, мариупольская улица, дом 3",Юго-Восточный административный округ
"город москва, машкинское шоссе, дом 7",Северо-Западный административный округ
"город москва, международная улица, дом 15",Центральный административный округ
"город москва, мерзляковский переулок, дом 15",Центральный административный округ
"город москва, миллионная улица, дом 5",Восточный административный округ
"город москва, минаевский переулок, дом 2",Северо-Восточный административный округ
"город москва, мирской переулок, дом 5",Северный административный округ
"город москва, миусская площадь, дом 9, строение 8",Центральный административный округ
"город москва, михневский проезд, дом 4, корпус 1",Южный административный округ
"город москва, мишина улица, дом 35",Северный административный округ
"город москва, молодёжная улица, дом 4",Юго-Западный административный округ
"город москва, мрузовский переулок, дом 11, строение 1",Центральный административный округ
"город москва, нагорный бульвар, дом 5, корпус 1",Юго-Западный административный округ
"город москва, напрудный переулок, дом 13",Центральный административный округ
"город москва, нарвская улица, дом 2",Северный административный округ
"город москва, наро-фоминская улица, дом 1",Западный административный округ
"город москва, народный проспект, дом 17, строение 24",Восточный административный округ
"город москва, научный проезд, дом 19",Юго-Западный административный округ
"город москва, нелидовская улица, дом 10, строение 1",Северо-Западный административный округ
"город москва, неманский проезд, дом 1",Северо-Западный административный округ
"город москва, несвижский переулок, дом 3",Центральный административный округ
"город москва, нижний журавлёв переулок, дом 3",Восточный административный округ
"город москва, нижний кисельный переулок, дом 3, строение 1",Центральный административный округ
"город москва, никитский переулок, дом 7, строение 2",Центральный административный округ
"город москва, новобутовский проезд, владение 9, строение 1",Юго-Западный административный округ
"город москва, нововладыкинский проезд, дом 8, строение 5",Северо-Восточный административный округ
"город москва, новолучанская улица, дом 22, строение 1",Западный административный округ
"город москва, новоостаповская улица, дом 12, строение 2",Юго-Восточный административный округ
"город москва, новопресненский переулок, дом 6",Центральный административный округ
"город москва, новорублёвская улица, дом 1",Западный административный округ
"город москва, новосибирская улица, дом 8",Восточный административный округ
"город москва, новохорошёвский проезд, дом 12",Северо-Западный административный округ
"город москва, норильская улица, дом 4",Северо-Восточный административный округ
"город москва, олонецкий проезд, дом 6",Северо-Восточный административный округ
"город москва, оренбургская улица, дом 32, строение 5",Восточный административный округ
"город москва, орехово-зуевский проезд, дом 4",Юго-Восточный административный округ
"город москва, отрадный проезд, дом 2б",Северо-Восточный административный округ
"город москва, парусный проезд, дом 5, строение 1",Северо-Западный административный округ
"город москва, педагогическая улица, дом 3",Южный административный округ
"город москва, пенягинская улица, дом 14",Северо-Западный административный округ
"город москва, переулок васнецова, дом 2",Центральный административный округ
"город москва, переулок красина, дом 16, строение 10",Центральный административный округ
"город москва, переулок маяковского, дом 3",Центральный административный округ
"город москва, переулок расковой, дом 14а",Северный административный округ
"город москва, переулок хользунова, дом 8",Центральный административный округ
"город москва, перовский проезд, дом 35, строение 8",Юго-Восточный административный округ
"город москва, пестовский переулок, дом 3, строение 1",Центральный административный округ
"город москва, песчаная улица, дом 2а, строение 4",Северный административный округ
"город москва, песчаный переулок, дом 6",Северный административный округ
"город москва, петроверигский переулок, дом 4, строение 1",Центральный административный округ
"город москва, петровско-разумовская аллея, дом 10, корпус 3",Северный административный округ
"город москва, печорская улица, дом 18",Северо-Восточный административный округ
"город москва, платовская улица, дом 4",Западный административный округ
"город москва, плетешковский переулок, дом 2",Центральный административный округ
"город москва, площадь журавлёва, дом 2, строение 2",Восточный административный округ
"город москва, подольская улица, дом 15",Юго-Восточный административный округ
"город москва, подсосенский переулок, дом 8, строение 2",Центральный административный округ
"город москва, пожарский переулок, дом 15",Центральный административный округ
"город москва, полтавская улица, дом 3",Северный административный округ
"город москва, попов проезд, дом 2",Восточный административный округ
"город москва, поселение филимонковское, деревня верхнее валуево, дом 21а",Новомосковский административный округ
"город москва, посланников переулок, дом 9, строение 5",Центральный административный округ
"город москва, посёлок акулово, дом 43а, строение 1",Восточный административный округ
"город москва, прибрежный проезд, дом 12",Северный административный округ
"город москва, причальный проезд, дом 7, строение 1",Центральный административный округ
"город москва, проезд добролюбова, дом 3, строение 3",Северо-Восточный административный округ
"город москва, проезд донелайтиса, дом 30",Северо-Западный административный округ
"город москва, проезд досфлота, дом 2, строение 1",Северо-Западный административный округ
"город москва, проезд нансена, владение 3б",Северо-Восточный административный округ
"город москва, проезд черепановых, дом 6, строение 1",Северный административный округ
"город москва, проезд якушкина, дом 7",Северо-Восточный административный округ
"город москва, проектируемый проезд № 1980, дом 4",Западный административный округ
"город москва, производственная улица, дом 1, корпус 1, строение 1",Западный административный округ
"город москва, прокатная улица, дом 7",Восточный административный округ
"город москва, проспект 40 лет октября, дом 7, строение 2",Юго-Восточный административный округ
"город москва, проточный переулок, дом 7",Центральный административный округ
"город москва, прохладная улица, дом 28",Южный административный округ
"город москва, пуговишников переулок, дом 7",Центральный административный округ
"город москва, пулковская улица, дом 6",Северный административный округ
"город москва, пыжёвский переулок, дом 5, строение 1",Центральный административный округ
"город москва, пяловская улица, дом 7, строение 3",Северный административный округ
"город москва, радужная улица, дом 7",Северо-Восточный административный округ
"город москва, рижский проезд, дом 7",Северо-Восточный административный округ
"город москва, родниковая улица, дом 20, корпус 1",Западный административный округ
"город москва, ростокинская улица, дом 3",Северо-Восточный административный округ
"город москва, рубцов переулок, дом 10/14",Центральный административный округ
"город москва, русаковская набережная, дом 7",Восточный административный округ
"город москва, садовая-сухаревская улица, дом 6, строение 1",Центральный административный округ
"город москва, садовнический проезд, дом 6",Центральный административный округ
"город москва, сверчков переулок, дом 8, строение 1",Центральный административный округ
"город москва, северодвинская улица, дом 20",Северо-Восточный административный округ
"город москва, сеченовский переулок, дом 7а",Центральный административный округ
"город москва, сибирский проезд, дом 2, корпус 27, строение 1",Центральный административный округ
"город москва, сивашская улица, дом 2, корпус 1",Юго-Западный административный округ
"город москва, симферопольский проезд, дом 18",Южный административный округ
"город москва, синельниковская улица, дом 47",Юго-Западный административный округ
"город москва, скатертный переулок, дом 13",Центральный административный округ
"город москва, скорняжный переулок, дом 3, строение 1",Центральный административный округ
"город москва, соймоновский проезд, дом 5",Центральный административный округ
"город москва, солнечногорский проезд, дом 7а",Северный административный округ
"город москва, сормовский проезд, дом 11, строение 8",Юго-Восточный административный округ
"город москва, сосновая аллея, дом 1, строение 1",Северо-Западный административный округ
"город москва, софийская набережная, дом 30, строение 1",Центральный административный округ
"город москва, союзный проспект, дом 2",Восточный административный округ
"город москва, спартаковский переулок, дом 2, строение 1",Центральный административный округ
"город москва, спортивный проезд, дом 3а",Юго-Восточный административный округ
"город москва, средний кондратьевский переулок, дом 8а",Центральный административный округ
"город москва, средний овчинниковский переулок, дом 1, строение 13",Центральный административный округ
"город москва, средняя калитниковская улица, дом 22, строение 3",Центральный административный округ
"город москва, сретенский тупик, дом 5",Центральный административный округ
"город москва, стандартная улица, дом 4а",Северо-Восточный административный округ
"город москва, староалексеевская улица, дом 1",Северо-Восточный административный округ
"город москва, старомарьинское шоссе, дом 5",Северо-Восточный административный округ
"город москва, старомонетный переулок, дом 18",Центральный административный округ
"город москва, староникольская улица, дом 14а",Юго-Западный административный округ
"город москва, старослободская улица, дом 8",Восточный административный округ
"город москва, столовый переулок, дом 10/2, строение 1",Центральный административный округ
"город москва, стрелецкая улица, дом 2, строение 1",Северо-Восточный административный округ
"город москва, стрельбищенский переулок, дом 14",Центральный административный округ
"город москва, стройковская улица, дом 5",Центральный административный округ
"город москва, стромынский переулок, дом 4",Восточный административный округ
"город москва, сумская улица, дом 2/12",Южный административный округ
"город москва, таганрогская улица, дом 7",Юго-Восточный административный округ
"город москва, таможенный проезд, дом 4",Юго-Восточный административный округ
"город москва, тарусская улица, дом 10",Юго-Западный административный округ
"город москва, тарханская улица, дом 2",Юго-Восточный административный округ
"город москва, таёжная улица, дом 1",Северо-Восточный административный округ
"город москва, театральная аллея, дом 3, строение 1",Северный административный округ
"город москва, тенистый проезд, дом 8",Северо-Восточный административный округ
"город москва, тессинский переулок, дом 4, строение 2",Центральный административный округ
"город москва, тестовская улица, дом 1",Центральный административный округ
"город москва, тетеринский переулок, дом 2а",Центральный административный округ
"город москва, тимирязевский проезд, дом 2",Северный административный округ
"город москва, тихая улица, дом 30",Юго-Восточный административный округ
"город москва, тихвинский переулок, дом 3",Центральный административный округ
"город москва, тихий тупик, дом 2",Центральный административный округ
"город москва, триумфальная площадь, дом 2, строение 1",Центральный административный округ
"город москва, троилинский переулок, дом 3",Центральный административный округ
"город москва, тургеневская площадь, дом 2",Центральный административный округ
"город москва, улица 9 мая, дом 8",Восточный административный округ
"город москва, улица авиаконструктора микояна, дом 12",Северный административный округ
"город москва, улица айвазовского, владение 7, строение 1",Юго-Западный административный округ
"город москва, улица академика арцимовича, дом 7",Юго-Западный административный округ
"город москва, улица академика комарова, дом 5а",Северо-Восточный административный округ
"город москва, улица академика опарина, дом 4",Юго-Западный административный округ
"город москва, улица академика павлова, дом 25",Западный административный округ
"город москва, улица академика петровского, дом 10",Южный административный округ
"город москва, улица академика понтрягина, дом 17, корпус 1",Юго-Западный административный округ
"город москва, улица академика семёнова, дом 3",Юго-Западный административный округ
"город москва, улица алексея дикого, дом 18а",Восточный административный округ
"город москва, улица анатолия живова, дом 10",Центральный административный округ
"город москва, улица артюхиной, дом 17",Юго-Восточный административный округ
"город москва, улица атарбекова, дом 4а",Восточный административный округ
"город москва, улица благуша, дом 6",Восточный административный округ
"город москва, улица богданова, дом 56б",Западный административный округ
"город москва, улица богородский вал, дом 3, строение 28",Восточный административный округ
"город москва, улица бориса жигулёнкова, дом 15",Восточный административный округ
"город москва, улица брусилова, дом 29, корпус 1",Юго-Западный административный округ
"город москва, улица васильцовский стан, дом 5, корпус 1",Юго-Восточный административный округ
"город москва, улица высоцкого, дом 4",Центральный административный округ
"город москва, улица гамалеи, дом 17, корпус 1",Северо-Западный административный округ
"город москва, улица генерала ермолова, дом 4",Западный административный округ
"город москва, улица гончарова, дом 15б",Северо-Восточный административный округ
"город москва, улица девятая рота, дом 14",Восточный административный округ
"город москва, улица демьяна бедного, дом 4",Северо-Западный административный округ
